dex,identifier,height_dm
1,bulbasaur,7
2,ivysaur,10
3,venusaur,20
4,charmander,6
5,charmeleon,11
6,charizard,17
7,squirtle,5
8,wartortle,10
9,blastoise,16
10,caterpie,3
11,metapod,7
12,butterfree,11
13,weedle,3
14,kakuna,6
15,beedrill,10
16,pidgey,3
17,pidgeotto,11
18,pidgeot,15
19,rattata,3
20,raticate,7
21,spearow,3
22,fearow,12
23,ekans,20
24,arbok,35
25,pikachu,4
26,raichu,8
27,sandshrew,6
28,sandslash,10
29,nidoran-f,4
30,nidorina,8
31,nidoqueen,13
32,nidoran-m,5
33,nidorino,9
34,nidoking,14
35,clefairy,6
36,clefable,13
37,vulpix,6
38,ninetales,11
39,jigglypuff,5
40,wigglytuff,10
41,zubat,8
42,golbat,16
43,oddish,5
44,gloom,8
45,vileplume,12
46,paras,3
47,parasect,10
48,venonat,10
49,venomoth,15
50,diglett,2
51,dugtrio,7
52,meowth,4
53,persian,10
54,psyduck,8
55,golduck,17
56,mankey,5
57,primeape,10
58,growlithe,7
59,arcanine,19
60,poliwag,6
61,poliwhirl,10
62,poliwrath,13
63,abra,9
64,kadabra,13
65,alakazam,15
66,machop,8
67,machoke,15
68,machamp,16
69,bellsprout,7
70,weepinbell,10
71,victreebel,17
72,tentacool,9
73,tentacruel,16
74,geodude,4
75,graveler,10
76,golem,14
77,ponyta,10
78,rapidash,17
79,slowpoke,12
80,slowbro,16
81,magnemite,3
82,magneton,10
83,farfetchd,8
84,doduo,14
85,dodrio,18
86,seel,11
87,dewgong,17
88,grimer,9
89,muk,12
90,shellder,3
91,cloyster,15
92,gastly,13
93,haunter,16
94,gengar,15
95,onix,88
96,drowzee,10
97,hypno,16
98,krabby,4
99,kingler,13
100,voltorb,5
101,electrode,12
102,exeggcute,4
103,exeggutor,20
104,cubone,4
105,marowak,10
106,hitmonlee,15
107,hitmonchan,14
108,lickitung,12
109,koffing,6
110,weezing,12
111,rhyhorn,10
112,rhydon,19
113,chansey,11
114,tangela,10
115,kangaskhan,22
116,horsea,4
117,seadra,12
118,goldeen,6
119,seaking,13
120,staryu,8
121,starmie,11
122,mr-mime,13
123,scyther,15
124,jynx,14
125,electabuzz,11
126,magmar,13
127,pinsir,15
128,tauros,14
129,magikarp,9
130,gyarados,65
131,lapras,25
132,ditto,3
133,eevee,3
134,vaporeon,10
135,jolteon,8
136,flareon,9
137,porygon,8
138,omanyte,4
139,omastar,10
140,kabuto,5
141,kabutops,13
142,aerodactyl,18
143,snorlax,21
144,articuno,17
145,zapdos,16
146,moltres,20
147,dratini,18
148,dragonair,40
149,dragonite,22
150,mewtwo,20
151,mew,4
152,chikorita,9
153,bayleef,12
154,meganium,18
155,cyndaquil,5
156,quilava,9
157,typhlosion,17
158,totodile,6
159,croconaw,11
160,feraligatr,23
161,sentret,8
162,furret,18
163,hoothoot,7
164,noctowl,16
165,ledyba,10
166,ledian,14
167,spinarak,5
168,ariados,11
169,crobat,18
170,chinchou,5
171,lanturn,12
172,pichu,3
173,cleffa,3
174,igglybuff,3
175,togepi,3
176,togetic,6
177,natu,2
178,xatu,15
179,mareep,6
180,flaaffy,8
181,ampharos,14
182,bellossom,4
183,marill,4
184,azumarill,8
185,sudowoodo,12
186,politoed,11
187,hoppip,4
188,skiploom,6
189,jumpluff,8
190,aipom,8
191,sunkern,3
192,sunflora,8
193,yanma,12
194,wooper,4
195,quagsire,14
196,espeon,9
197,umbreon,10
198,murkrow,5
199,slowking,20
200,misdreavus,7
201,unown,5
202,wobbuffet,13
203,girafarig,15
204,pineco,6
205,forretress,12
206,dunsparce,15
207,gligar,11
208,steelix,92
209,snubbull,6
210,granbull,14
211,qwilfish,5
212,scizor,18
213,shuckle,6
214,heracross,15
215,sneasel,9
216,teddiursa,6
217,ursaring,18
218,slugma,7
219,magcargo,8
220,swinub,4
221,piloswine,11
222,corsola,6
223,remoraid,6
224,octillery,9
225,delibird,9
226,mantine,21
227,skarmory,17
228,houndour,6
229,houndoom,14
230,kingdra,18
231,phanpy,5
232,donphan,11
233,porygon2,6
234,stantler,14
235,smeargle,12
236,tyrogue,7
237,hitmontop,14
238,smoochum,4
239,elekid,6
240,magby,7
241,miltank,12
242,blissey,15
243,raikou,19
244,entei,21
245,suicune,20
246,larvitar,6
247,pupitar,12
248,tyranitar,20
249,lugia,52
250,ho-oh,38
251,celebi,6
252,treecko,5
253,grovyle,9
254,sceptile,17
255,torchic,4
256,combusken,9
257,blaziken,19
258,mudkip,4
259,marshtomp,7
260,swampert,15
261,poochyena,5
262,mightyena,10
263,zigzagoon,4
264,linoone,5
265,wurmple,3
266,silcoon,6
267,beautifly,10
268,cascoon,7
269,dustox,12
270,lotad,5
271,lombre,12
272,ludicolo,15
273,seedot,5
274,nuzleaf,10
275,shiftry,13
276,taillow,3
277,swellow,7
278,wingull,6
279,pelipper,12
280,ralts,4
281,kirlia,8
282,gardevoir,16
283,surskit,5
284,masquerain,8
285,shroomish,4
286,breloom,12
287,slakoth,8
288,vigoroth,14
289,slaking,20
290,nincada,5
291,ninjask,8
292,shedinja,8
293,whismur,6
294,loudred,10
295,exploud,15
296,makuhita,10
297,hariyama,23
298,azurill,2
299,nosepass,10
300,skitty,6
301,delcatty,11
302,sableye,5
303,mawile,6
304,aron,4
305,lairon,9
306,aggron,21
307,meditite,6
308,medicham,13
309,electrike,6
310,manectric,15
311,plusle,4
312,minun,4
313,volbeat,7
314,illumise,6
315,roselia,3
316,gulpin,4
317,swalot,17
318,carvanha,8
319,sharpedo,18
320,wailmer,20
321,wailord,145
322,numel,7
323,camerupt,19
324,torkoal,5
325,spoink,7
326,grumpig,9
327,spinda,11
328,trapinch,7
329,vibrava,11
330,flygon,20
331,cacnea,4
332,cacturne,13
333,swablu,4
334,altaria,11
335,zangoose,13
336,seviper,27
337,lunatone,10
338,solrock,12
339,barboach,4
340,whiscash,9
341,corphish,6
342,crawdaunt,11
343,baltoy,5
344,claydol,15
345,lileep,10
346,cradily,15
347,anorith,7
348,armaldo,15
349,feebas,6
350,milotic,62
351,castform,3
352,kecleon,10
